ml	 mAU
0.00	0.00
0.09	0.01
0.18	0.01
0.27	0.00
0.36	0.00
0.44	0.01
0.53	0.01
0.62	0.01
0.71	0.01
0.80	0.00
0.89	0.00
0.98	0.00
1.07	-0.02
1.16	0.05
1.24	0.35
1.33	0.36
1.42	0.15
1.51	0.06
1.60	0.03
1.69	0.23
1.78	1.56
1.87	3.38
1.96	169.35
2.05	1269.89
2.13	2091.75
2.22	2250.73
2.31	2301.67
2.40	2333.02
2.49	2370.17
2.58	2378.00
2.67	2405.74
2.76	2408.63
2.85	2447.21
2.93	2464.97
3.02	2475.60
3.11	2491.63
3.20	2506.12
3.29	2513.72
3.38	2493.06
3.47	2492.17
3.56	2491.86
3.65	2501.90
3.73	2483.73
3.82	2493.43
3.91	2525.98
4.00	2486.01
4.09	2489.17
4.18	2479.47
4.27	2496.88
4.36	2486.64
4.45	2496.17
4.54	2491.04
4.62	2476.47
4.71	2469.53
4.80	2494.15
4.89	2491.06
4.98	2478.47
5.07	2468.66
5.16	2471.54
5.25	2485.85
5.34	2482.45
5.42	2468.51
5.51	2478.10
5.60	2482.34
5.69	2484.23
5.78	2481.57
5.87	2487.21
5.96	2462.42
6.05	2495.27
6.14	2500.13
6.22	2503.46
6.31	2510.10
6.40	2490.55
6.49	2497.06
6.58	2478.58
6.67	2511.74
6.76	2495.15
6.85	2505.37
6.94	2509.26
7.02	2497.59
7.11	2502.15
7.20	2503.12
7.29	2500.41
7.38	2497.78
7.47	2469.44
7.56	2500.71
7.65	2513.52
7.74	2495.28
7.83	2509.13
7.91	2500.33
8.00	2478.75
8.09	2475.13
8.18	2473.73
8.27	2471.70
8.36	2480.09
8.45	2466.64
8.54	2472.19
8.63	2470.92
8.71	2489.91
8.80	2480.66
8.89	2454.16
8.98	2471.63
9.07	2467.53
9.16	2478.80
9.25	2456.79
9.34	2478.59
9.43	2497.87
9.51	2468.54
9.60	2468.42
9.69	2460.95
9.78	2454.54
9.87	2458.99
9.96	2474.46
10.05	2464.80
10.14	2458.56
10.23	2474.60
10.31	2481.74
10.40	2504.04
10.49	2483.81
10.58	2492.59
10.67	2461.54
10.76	2482.45
10.85	2474.96
10.94	2489.08
11.03	2497.09
11.12	2499.12
11.20	2509.49
11.29	2480.13
11.38	2499.56
11.47	2493.01
11.56	2496.72
11.65	2496.83
11.74	2500.58
11.83	2506.93
11.92	2498.15
12.00	2499.30
12.09	2508.31
12.18	2520.03
12.27	2511.79
12.36	2501.78
12.45	2515.59
12.54	2515.99
12.63	2525.99
12.72	2529.13
12.80	2504.22
12.89	2504.03
12.98	2486.37
13.07	2486.36
13.16	2487.42
13.25	2493.13
13.34	2493.60
13.43	2504.40
13.52	2505.10
13.61	2497.66
13.69	2490.11
13.78	2483.84
13.87	2492.60
13.96	2492.73
14.05	2502.15
14.14	2482.24
14.23	2496.19
14.32	2507.98
14.41	2511.00
14.49	2487.87
14.58	2499.01
14.67	2520.56
14.76	2502.39
14.85	2508.59
14.94	2521.56
15.03	2515.42
15.12	2504.54
15.21	2510.28
15.29	2533.96
15.38	2511.31
15.47	2522.51
15.56	2531.66
15.65	2533.44
15.74	2544.81
15.83	2520.96
15.92	2519.95
16.01	2523.22
16.09	2547.84
16.18	2526.36
16.27	2529.10
16.36	2553.57
16.45	2556.69
16.54	2549.71
16.63	2551.76
16.72	2556.24
16.81	2553.02
16.90	2542.72
16.98	2531.95
17.07	2550.88
17.16	2551.30
17.25	2548.09
17.34	2536.99
17.43	2539.88
17.52	2549.36
17.61	2526.89
17.70	2540.14
17.78	2531.66
17.87	2527.63
17.96	2524.45
18.05	2526.23
18.14	2520.48
18.23	2522.50
18.32	2521.55
18.41	2526.34
18.50	2517.33
18.58	2505.51
18.67	2508.06
18.76	2518.77
18.85	2511.80
18.94	2515.75
19.03	2510.21
19.12	2492.77
19.21	2503.91
19.30	2513.08
19.38	2501.43
19.47	2507.26
19.56	2521.43
19.65	2509.62
19.74	2505.81
19.83	2491.06
19.92	2514.36
20.01	2507.17
20.10	2503.74
20.19	2523.00
20.27	2507.01
20.36	2508.66
20.45	2515.35
20.54	2511.16
20.63	2506.27
20.72	2514.21
20.81	2513.18
20.90	2502.18
20.99	2501.97
21.07	2506.22
21.16	2539.23
21.25	2533.29
21.34	2496.84
21.43	2509.62
21.52	2505.00
21.61	2507.08
21.70	2496.72
21.79	2505.42
21.87	2506.30
21.96	2504.09
22.05	2513.80
22.14	2513.60
22.23	2499.37
22.32	2510.48
22.41	2505.38
22.50	2492.55
22.59	2484.83
22.68	2497.65
22.76	2500.54
22.85	2495.08
22.94	2481.85
23.03	2475.22
23.12	2493.23
23.21	2482.03
23.30	2494.88
23.39	2520.05
23.48	2488.18
23.56	2493.02
23.65	2519.35
23.74	2490.69
23.83	2506.19
23.92	2493.59
24.01	2498.40
24.10	2515.65
24.19	2515.81
24.28	2508.62
24.36	2508.31
24.45	2523.51
24.54	2520.69
24.63	2522.87
24.72	2498.02
24.81	2525.57
24.90	2522.45
24.99	2529.91
25.08	2524.67
25.16	2519.65
25.25	2539.39
25.34	2520.15
25.43	2537.41
25.52	2530.99
25.61	2520.95
25.70	2514.04
25.79	2508.17
25.88	2516.14
25.97	2529.82
26.05	2513.36
26.14	2509.65
26.23	2484.26
26.32	2486.06
26.41	2471.54
26.50	2495.68
26.59	2492.28
26.68	2466.26
26.77	2506.11
26.85	2498.27
26.94	2501.82
27.03	2481.72
27.12	2479.47
27.21	2463.40
27.30	2475.38
27.39	2478.69
27.48	2476.22
27.57	2469.36
27.65	2472.23
27.74	2471.28
27.83	2460.98
27.92	2471.55
28.01	2475.84
28.10	2466.12
28.19	2471.96
28.28	2473.74
28.37	2471.78
28.45	2479.36
28.54	2476.16
28.63	2469.97
28.72	2476.44
28.81	2470.28
28.90	2473.63
28.99	2477.55
29.08	2500.92
29.17	2492.84
29.26	2488.42
29.34	2473.93
29.43	2476.52
29.52	2474.30
29.61	2468.27
29.70	2482.25
29.79	2493.33
29.88	2481.48
29.97	2497.44
30.06	2503.91
30.14	2508.56
30.23	2490.25
30.32	2489.96
30.41	2474.89
30.50	2484.30
30.59	2495.53
30.68	2485.26
30.77	2496.54
30.86	2483.62
30.94	2473.11
31.03	2470.14
31.12	2477.69
31.21	2477.22
31.30	2468.97
31.39	2462.26
31.48	2463.77
31.57	2484.40
31.66	2488.11
31.75	2462.80
31.83	2470.16
31.92	2469.00
32.01	2473.32
32.10	2456.27
32.19	2483.74
32.28	2488.22
32.37	2494.20
32.46	2492.07
32.55	2483.67
32.63	2495.34
32.72	2503.04
32.81	2505.43
32.90	2509.12
32.99	2541.32
33.08	2536.06
33.17	2528.21
33.26	2517.90
33.35	2506.26
33.43	2506.83
33.52	2544.13
33.61	2549.62
33.70	2544.10
33.79	2508.36
33.88	2426.84
33.97	2316.36
34.06	2213.56
34.15	2087.06
34.23	1958.44
34.32	1808.52
34.41	1639.27
34.50	1470.12
34.59	1291.50
34.68	1135.25
34.77	985.07
34.86	858.89
34.95	746.40
35.04	653.80
35.12	576.73
35.21	512.75
35.30	462.26
35.39	419.48
35.48	386.46
35.57	357.21
35.66	334.46
35.75	314.84
35.84	298.90
35.92	285.23
36.01	273.26
36.10	262.84
36.19	253.00
36.28	244.64
36.37	236.15
36.46	228.60
36.55	221.09
36.64	214.20
36.72	207.48
36.81	201.00
36.90	194.95
36.99	189.06
37.08	183.72
37.17	178.18
37.26	173.28
37.35	168.43
37.44	163.88
37.52	159.48
37.61	155.24
37.70	151.27
37.79	147.41
